"gseid","ngsm","restoration.grn","biotin.stain.red","biotin.stain.grn","specificityI.red","specificityI.grn","specificityII","extension.red","extension.grn","hyb.hi.med","hyb.med.low","target.removal.1","target.removal.2","bisulfite.conv.I.red","bisulfite.conv.I.grn","bisulfite.conv.II","nonpolymorphic.red","nonpolymorphic.grn","meth_<_10","unmeth_<_10","meth_<_11","unmeth_<_11","meth_<_12","unmeth_<_12","qc.stf.filt","ba.stf.filt"
"GSE49149",194,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0.33,0.37,1,1,"below","below"
"GSE112873;GSE112877",47,0,0.21,0.36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.06,0,"below","above"
"GSE75248",333,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0.01,0,0.69,0.12,"below","below"
"GSE110607",102,0,0.07,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0.03,0.11,0.82,0.99,"below","below"
"GSE69502",177,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.03,0,0.71,0.17,"below","below"
"GSE62219",59,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.1,0.15,0.71,0.19,0.24,0.37,0.88,0.97,1,1,"above","above"
"GSE75153",92,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.01,0,0.01,0,0,0.07,0.04,0.92,0.86,"below","below"
"GSE60185",279,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.19,"below","below"
"GSE100386",45,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,"below","below"
"GSE108123;GSE108124",86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.02,0.15,0.15,0.85,0.65,"below","below"
"GSE102468",164,0,0.07,0.14,0,0,0,0,0,0,0,0,0,0.02,0.02,0.04,0.26,0.67,0.01,0,0.7,0.22,1,1,"below","above"
"GSE101443;GSE101445",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86,0.86,"below","below"
"GSE99511",67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.1,0.51,0.64,"below","below"
"GSE95488;GSE95486",23,0,0.22,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.35,1,"below","below"
"GSE78732",28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0.04,"below","below"
"GSE65163;GSE65205",71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.34,0.55,1,1,"below","below"
"GSE88824",81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0.2,0.15,0.99,1,"below","below"
"GSE117050",37,0,0.03,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0.22,0.92,"below","below"
"GSE84493",307,0,0.07,0.12,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0.02,0,0,0.01,0.01,0.13,0.25,"below","below"
"GSE80685",172,0,0.05,0.08,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0,0,0.02,0.02,0.16,0.21,"below","below"
"GSE79329",34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.62,"below","below"
"GSE80762",78,0,0.17,0.19,0,0,0,0,0,0,0,0,0,0.01,0.01,0.08,0,0,0,0,0,0.08,0.36,0.53,"below","below"
"GSE61450;GSE61454",70,0,0,0,0,0,0,0,0,0,0,0,0,0.53,0.61,0.41,0.37,0.89,0,0,0.07,0,0.94,0.63,"below","above"
"GSE74167;GSE107215",42,0,0.17,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.74,0.62,"below","below"
"GSE77965",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0.82,0.95,"below","below"
"GSE73895",60,0,0.1,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0.13,0,0.98,0.45,"below","below"
"GSE62727",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91,1,"below","below"
"GSE107351;GSE107353",115,0,0.22,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.87,0.9,"below","below"
"GSE102504",25,0,0.24,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.88,1,1,"below","below"
"GSE83691",26,0,0.04,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.31,0,0.35,0.62,0.88,1,"below","below"
"GSE99994;GSE99996",81,0,0.1,0.26,0,0,0,0,0,0.07,0.27,0,0,0,0,0,0.04,0.01,0.01,0,0.17,0.01,0.9,0.36,"below","below"
"GSE85210",253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.79,0.66,"below","below"
"GSE62053",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"below","below"
"GSE74432",122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.29,0.48,0.97,"below","below"
"GSE63695",94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0.41,0,0,0.33,0.17,0.68,0.48,"below","below"
"GSE82234",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,1,0.83,"below","below"
"GSE61107",47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0.47,0.15,1,1,"below","below"
"GSE86650;GSE86648",39,0,0.23,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.15,0.28,1,"below","below"
"GSE74738",78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0.17,"below","below"
"GSE106600",23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0.7,"below","below"
"GSE88883",97,0,0.05,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"below","below"
"GSE114935",46,0,0.04,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.93,1,"below","below"
"GSE61453;GSE61454",71,0,0,0,0,0,0,0,0,0,0,0,0,0.68,0.73,0.23,0.31,0.94,0,0,0.06,0.03,0.96,0.7,"below","above"
"GSE85566;GSE85568",114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0.21,0.08,"below","below"
"GSE83917;GSE84043",159,0,0.05,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0.02,0.12,0.16,"below","below"
"GSE77954;GSE77955",48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.21,"below","below"
"GSE90871",24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,1,0.21,"below","below"
"GSE59524",24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"below","below"
"GSE119847;GSE119846",59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.97,"below","below"
"GSE72556",93,0,0,0,0.01,0.01,0.01,0,0,0,0,0,0,0.02,0.09,0.19,0.39,0.41,0.46,0.29,0.84,0.54,1,0.99,"below","below"
"GSE70460",148,0,0.07,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.03,0,0,0,0.01,0.17,0.14,"below","below"
"GSE93266",74,0,0.09,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.03,0.05,0.35,"below","below"
"GSE116924",23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0.39,0.78,1,"below","below"
"GSE92469;GSE92462",35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0.03,0.03,0.06,0.06,0.63,0.31,"below","below"
"GSE120250",88,0,0.19,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0,0,0.02,0.05,1,1,"below","below"
"GSE60274",77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0,0,0.01,0.01,0.01,0.01,"below","below"
"GSE105288;GSE105260",44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39,0.02,"below","below"
"GSE115797",48,0,0.31,0.48,0,0,0,0,0,0.02,0.42,0,0,0,0,0,0.38,0.31,0.42,0.42,0.42,0.42,0.92,0.77,"below","below"
"GSE99863",255,0,0.07,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.39,0.52,"below","below"
"GSE75405;GSE75406",24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46,0.75,"below","below"
"GSE68342;GSE68344",24,0,0.04,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.29,0.25,"below","below"
"GSE101961",120,0,0.15,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.03,0,0,0,0,0.4,0.05,"below","below"
"GSE98876",71,0,0.14,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69,0.9,"below","below"
"GSE65307;GSE65306",32,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0,"below","below"
"GSE101641",48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.67,0.21,"below","below"
"GSE68777",40,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0.03,0,0.05,0.25,0,0,0.12,0.05,1,1,"below","below"
"GSE74214",18,0,0.17,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0.89,0.11,"below","below"
"GSE73949;GSE73950",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.06,0,0,0,0,0,0,0.82,0.47,"below","below"
"GSE105123;GSE105124",108,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0.06,0.78,0,0,0,0,0,0.05,0,0.89,"below","above"
"GSE108567",59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54,0.02,"below","below"
"GSE43976",91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0.23,1,"below","below"
"GSE67393",117,0,0.02,0,0,0,0,0,0,0,0,0,0,0.03,0.06,0.09,0.16,0.05,0.02,0.3,0.4,0.64,0.84,1,"below","below"
"GSE120650",57,0,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.65,0,"below","below"
"GSE90015;GSE89925",6,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,1,0.83,"below","below"
"GSE97362",234,0,0.15,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.71,0.76,1,"below","below"
"GSE95061;GSE95058",12,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,1,0.5,1,"below","below"
"GSE75704",165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0.65,"below","below"
"GSE94943",72,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.01,0.01,0,0,0,0,0,0,0.33,0.24,"below","below"
"GSE94368;GSE94326",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62,0.25,1,1,"below","below"
"GSE85506",47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0.02,0,"below","below"
"GSE65186;GSE65183",143,0,0.01,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.08,0.01,0.84,0.57,"below","below"
"GSE98056",69,0,0.14,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.01,0.19,0.3,0.65,0.99,"below","below"
"GSE65821;GSE65820",121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.04,0.05,0,0.58,0.12,0.98,0.96,"below","below"
