"tissue","gsmid"
"blood","GSM2905153"
"blood","GSM2814225"
"blood","GSM2815235"
"blood","GSM2814182"
"blood","GSM2814412"
"blood","GSM2865101"
"blood","GSM2334431"
"blood","GSM3035743"
"blood","GSM2363884"
"blood","GSM3026630"
"blood","GSM2333964"
"blood","GSM2363599"
"blood","GSM3035440"
"blood","GSM2333906"
"blood","GSM2089943"
"blood","GSM2686823"
"blood","GSM2770874"
"blood","GSM2465212"
"blood","GSM2814377"
"blood","GSM2090008"
"blood","GSM2562852"
"blood","GSM2814789"
"blood","GSM2815630"
"blood","GSM1506351"
"blood","GSM2814510"
"blood","GSM2656273"
"blood","GSM2814886"
"blood","GSM3035833"
"blood","GSM2814436"
"blood","GSM2334185"
"blood","GSM2465164"
"blood","GSM3035718"
"blood","GSM2815344"
"blood","GSM3035666"
"blood","GSM2815418"
"blood","GSM3035569"
"blood","GSM3035693"
"blood","GSM2363604"
"blood","GSM3035780"
"blood","GSM2656418"
"blood","GSM2337456"
"blood","GSM3440312"
"blood","GSM2814543"
"blood","GSM2814365"
"blood","GSM2867878"
"blood","GSM2089972"
"blood","GSM2334236"
"blood","GSM2867864"
"blood","GSM2770892"
"blood","GSM2334348"
"blood","GSM2334218"
"blood","GSM2562812"
"blood","GSM2363656"
"blood","GSM2337265"
"blood","GSM2814076"
"blood","GSM2656323"
"blood","GSM3440413"
"blood","GSM1624838"
"blood","GSM1649800"
"blood","GSM2738192"
"blood","GSM3035438"
"blood","GSM3035664"
"blood","GSM2815688"
"blood","GSM2090016"
"blood","GSM2089966"
"blood","GSM2363530"
"blood","GSM2648861"
"blood","GSM3440634"
"blood","GSM2814347"
"blood","GSM2814338"
"blood","GSM1646177"
"blood","GSM2334381"
"blood","GSM2865126"
"blood","GSM1705059"
"blood","GSM3035750"
"blood","GSM1848085"
"blood","GSM1506337"
"blood","GSM2815075"
"blood","GSM3035500"
"blood","GSM2334271"
"blood","GSM2738138"
"blood","GSM2337614"
"blood","GSM2815179"
"blood","GSM2363863"
"blood","GSM2337271"
"blood","GSM2337382"
"blood","GSM2337594"
"blood","GSM3440331"
"blood","GSM2562893"
"blood","GSM3035846"
"blood","GSM2183286"
"blood","GSM2656301"
"blood","GSM2815275"
"blood","GSM2337429"
"blood","GSM2770876"
"blood","GSM2337302"
"blood","GSM1506277"
"blood","GSM2738291"
"blood","GSM2337586"
"blood","GSM1920400"
"blood","GSM2814311"
"blood","GSM2814427"
"blood","GSM2334222"
"blood","GSM2814562"
"blood","GSM2814231"
"blood","GSM2334205"
"blood","GSM1705023"
"blood","GSM3035861"
"blood","GSM2260563"
"blood","GSM3035687"
"blood","GSM2815159"
"blood","GSM3440350"
"blood","GSM2815098"
"blood","GSM2814674"
"blood","GSM2334299"
"blood","GSM2867779"
"blood","GSM2807758"
"blood","GSM2334596"
"blood","GSM2656292"
"blood","GSM2334067"
"blood","GSM2334555"
"blood","GSM2337494"
"blood","GSM2349515"
"blood","GSM2260525"
"blood","GSM2814447"
"blood","GSM2738147"
"blood","GSM3026680"
"blood","GSM2814423"
"blood","GSM3440746"
"blood","GSM2815008"
"blood","GSM2260704"
"blood","GSM1646164"
"blood","GSM2814809"
"blood","GSM2815314"
"blood","GSM1338111"
"blood","GSM2363543"
"blood","GSM2656379"
"blood","GSM3035608"
"blood","GSM3440630"
"blood","GSM2334296"
"blood","GSM2656236"
"blood","GSM2796261"
"blood","GSM2127952"
"blood","GSM2127935"
"blood","GSM2334505"
"blood","GSM2814744"
"blood","GSM2867884"
"blood","GSM3440767"
"blood","GSM2738276"
"blood","GSM2815231"
"blood","GSM2334568"
"blood","GSM2260555"
"blood","GSM2363740"
"blood","GSM2090052"
"blood","GSM1506316"
"blood","GSM2814598"
"blood","GSM2815002"
"blood","GSM2260495"
"blood","GSM2815670"
"blood","GSM3440512"
"blood","GSM2656342"
"blood","GSM3440430"
"blood","GSM2089926"
"blood","GSM3035681"
"blood","GSM3440332"
"blood","GSM3035444"
"blood","GSM2942827"
"blood","GSM2260529"
"blood","GSM2656272"
"blood","GSM2815338"
"blood","GSM2334084"
"blood","GSM3035423"
"blood","GSM1506399"
"blood","GSM3035955"
"blood","GSM3035595"
"blood","GSM2334143"
"blood","GSM3035775"
"blood","GSM3035784"
"blood","GSM2260702"
"blood","GSM2814241"
"blood","GSM2815005"
