"tissue","gsmid"
"blood","GSM2363894"
"blood","GSM2260598"
"blood","GSM3380786"
"blood","GSM2334533"
"blood","GSM1920467"
"blood","GSM2337385"
"blood","GSM2337503"
"blood","GSM2363618"
"blood","GSM2562864"
"blood","GSM2867883"
"blood","GSM2814296"
"blood","GSM3035912"
"blood","GSM2942850"
"blood","GSM2337562"
"blood","GSM2815581"
"blood","GSM1649829"
"blood","GSM3035489"
"blood","GSM2363864"
"blood","GSM2656245"
"blood","GSM2465176"
"blood","GSM3035580"
"blood","GSM2794358"
"blood","GSM2337348"
"blood","GSM3035623"
"blood","GSM2815339"
"blood","GSM1705062"
"blood","GSM2814376"
"blood","GSM3035886"
"blood","GSM3035763"
"blood","GSM2814335"
"blood","GSM2337362"
"blood","GSM2865198"
"blood","GSM3026683"
"blood","GSM2465240"
"blood","GSM3380783"
"blood","GSM2334108"
"blood","GSM2815121"
"blood","GSM2334513"
"blood","GSM2336965"
"blood","GSM2089932"
"blood","GSM1338107"
"blood","GSM2337291"
"blood","GSM2562725"
"blood","GSM3035843"
"blood","GSM2363621"
"blood","GSM3440433"
"blood","GSM1646175"
"blood","GSM2814238"
"blood","GSM2814458"
"blood","GSM2465265"
"blood","GSM2260730"
"blood","GSM2183296"
"blood","GSM2656178"
"blood","GSM2807727"
"blood","GSM2814227"
"blood","GSM1704997"
"blood","GSM1425499"
"blood","GSM2814388"
"blood","GSM2260570"
"blood","GSM2337008"
"blood","GSM1646166"
"blood","GSM3035891"
"blood","GSM1705036"
"blood","GSM2648845"
"blood","GSM2814139"
"blood","GSM2260719"
"blood","GSM2337530"
"blood","GSM3026689"
"blood","GSM2796274"
"blood","GSM2334079"
"blood","GSM3035499"
"blood","GSM3440529"
"blood","GSM2260632"
"blood","GSM1920449"
"blood","GSM2814775"
"blood","GSM2089937"
"blood","GSM2337624"
"blood","GSM2333934"
"blood","GSM2334144"
"blood","GSM2814772"
"blood","GSM3440736"
"blood","GSM1624832"
"blood","GSM3035881"
"blood","GSM2334483"
"blood","GSM2814170"
"blood","GSM3035696"
"blood","GSM2815263"
"blood","GSM2562807"
"blood","GSM2349516"
"blood","GSM2814645"
"blood","GSM2814551"
"blood","GSM2867803"
"blood","GSM2334088"
"blood","GSM3440615"
"blood","GSM2586409"
"blood","GSM2334234"
"blood","GSM2334453"
"blood","GSM3080997"
"blood","GSM2334571"
"blood","GSM2815494"
"blood","GSM2686829"
"blood","GSM2814803"
"blood","GSM2334145"
"blood","GSM2815282"
"blood","GSM2815377"
"blood","GSM2260731"
"blood","GSM3026621"
"blood","GSM2814069"
"blood","GSM2877347"
"blood","GSM2562783"
"blood","GSM2334429"
"blood","GSM3026705"
"blood","GSM2562932"
"blood","GSM2127933"
"blood","GSM3035925"
"blood","GSM2815014"
"blood","GSM2814476"
"blood","GSM3035703"
"blood","GSM2280178"
"blood","GSM1616989"
"blood","GSM2814077"
"blood","GSM3035589"
"blood","GSM2814521"
"blood","GSM2815253"
"blood","GSM3035530"
"blood","GSM2814223"
"blood","GSM2586434"
"blood","GSM2815603"
"blood","GSM2815150"
"blood","GSM3035855"
"blood","GSM3440490"
"blood","GSM2334330"
"blood","GSM2814437"
"blood","GSM2815663"
"blood","GSM3035760"
"blood","GSM3440731"
"blood","GSM2333959"
"blood","GSM2334030"
"blood","GSM2814357"
"blood","GSM2334553"
"blood","GSM1847996"
"blood","GSM2363792"
"blood","GSM3035483"
"blood","GSM3035537"
"blood","GSM2363616"
"blood","GSM2515114"
"blood","GSM2814870"
"blood","GSM3045495"
"blood","GSM1622773"
"blood","GSM2334367"
"blood","GSM2337595"
"blood","GSM2562821"
"blood","GSM2465249"
"blood","GSM2260723"
"blood","GSM2337262"
"blood","GSM3440362"
"blood","GSM3035805"
"blood","GSM2562931"
"blood","GSM3026721"
"blood","GSM2815381"
"blood","GSM2089954"
"blood","GSM1649761"
"blood","GSM2349477"
"blood","GSM2770885"
"blood","GSM2562828"
"blood","GSM2334003"
"blood","GSM2260606"
"blood","GSM2815286"
"blood","GSM1920373"
"blood","GSM2334229"
"blood","GSM2363620"
"blood","GSM3035719"
"blood","GSM2865157"
"blood","GSM3440417"
"blood","GSM2334523"
"blood","GSM2656372"
"blood","GSM3035482"
"blood","GSM3035716"
"blood","GSM2815596"
"blood","GSM3035453"
"blood","GSM2814324"
"blood","GSM2815110"
"blood","GSM2562735"
"blood","GSM2814703"
"blood","GSM3026779"
"blood","GSM2586463"
"blood","GSM2363882"
"blood","GSM2807730"
"blood","GSM1506469"
"blood","GSM3035551"
"blood","GSM2336962"
"blood","GSM2334082"
"blood","GSM2089947"
"blood","GSM2586407"
"blood","GSM2334548"
"blood","GSM2260628"
"blood","GSM2815249"
"blood","GSM2333969"
"blood","GSM2334552"
"blood","GSM3380785"
"blood","GSM2867866"
"blood","GSM2656416"
"blood","GSM3035616"
"blood","GSM2363617"
"blood","GSM1624843"
"blood","GSM2260699"
"blood","GSM3440557"
"blood","GSM2562803"
"blood","GSM2815091"
"blood","GSM2334335"
"blood","GSM3035658"
"blood","GSM2815375"
"blood","GSM2807748"
"blood","GSM2465188"
"blood","GSM2349506"
"blood","GSM2090036"
"blood","GSM2260541"
"blood","GSM2814897"
"blood","GSM2363829"
"blood","GSM2334076"
"blood","GSM3026702"
"blood","GSM2814483"
"blood","GSM3035426"
"blood","GSM2814462"
"blood","GSM2334509"
"blood","GSM2865107"
"blood","GSM3440510"
"blood","GSM2363559"
"blood","GSM2815078"
"blood","GSM2337617"
"blood","GSM2363637"
"blood","GSM2648854"
"blood","GSM2334226"
"blood","GSM2465230"
"blood","GSM3440528"
"blood","GSM3035579"
"blood","GSM2814051"
"blood","GSM1848017"
"blood","GSM2337334"
"blood","GSM2363862"
"blood","GSM2814066"
"blood","GSM2268012"
"blood","GSM2867806"
"blood","GSM1506418"
"blood","GSM2333965"
"blood","GSM2814832"
"blood","GSM2815479"
"blood","GSM3035466"
"blood","GSM2586405"
"blood","GSM2770880"
"blood","GSM3035655"
"blood","GSM2337406"
"blood","GSM2815672"
"blood","GSM2334472"
"blood","GSM2334027"
"blood","GSM1920394"
"blood","GSM2815574"
"blood","GSM2865169"
"blood","GSM2363576"
"blood","GSM2814390"
"blood","GSM2738216"
"blood","GSM2562901"
"blood","GSM2865149"
"blood","GSM3440431"
"blood","GSM2334544"
"blood","GSM3440518"
"blood","GSM1506292"
"blood","GSM2260691"
"blood","GSM1920360"
"blood","GSM2814102"
"blood","GSM2363885"
"blood","GSM2363808"
"blood","GSM3026700"
"blood","GSM3440638"
"blood","GSM2337244"
"blood","GSM2807776"
"blood","GSM2814344"
"blood","GSM3035594"
"blood","GSM2260498"
"blood","GSM2334442"
"blood","GSM3045524"
"blood","GSM2815490"
"blood","GSM3026763"
"blood","GSM2656260"
"blood","GSM3026623"
"blood","GSM1506341"
"blood","GSM3026749"
"blood","GSM2363661"
"blood","GSM2465147"
"blood","GSM3026772"
"blood","GSM2334630"
"blood","GSM3035871"
"blood","GSM3026664"
"blood","GSM3026666"
"blood","GSM2363742"
"blood","GSM2334351"
"blood","GSM3035447"
"blood","GSM2465174"
"blood","GSM2363704"
"blood","GSM2334399"
"blood","GSM3035717"
"blood","GSM2333932"
"blood","GSM3440754"
"blood","GSM2814963"
"blood","GSM2337328"
"blood","GSM2656346"
"blood","GSM3440616"
"blood","GSM2815451"
"blood","GSM2814088"
"blood","GSM2796280"
"blood","GSM2814625"
"blood","GSM2562832"
"blood","GSM1848012"
"blood","GSM1624834"
"blood","GSM2815099"
"blood","GSM2814207"
"blood","GSM2333990"
"blood","GSM2814493"
"blood","GSM2363691"
"blood","GSM2267990"
"blood","GSM2867853"
"blood","GSM2334441"
"blood","GSM2334167"
"blood","GSM1920348"
"blood","GSM2089993"
"blood","GSM1624833"
"blood","GSM2562868"
"blood","GSM2089987"
"blood","GSM2814786"
"blood","GSM2363706"
"blood","GSM2363682"
"blood","GSM1624851"
"blood","GSM2656185"
"blood","GSM2814098"
"blood","GSM2363680"
"blood","GSM2363567"
"blood","GSM2334476"
"blood","GSM2815439"
"blood","GSM2363591"
"blood","GSM3035908"
"blood","GSM1425714"
"blood","GSM1506540"
"blood","GSM2865093"
"blood","GSM2337545"
"blood","GSM2334604"
"blood","GSM2815415"
"blood","GSM2815147"
"blood","GSM1338108"
"blood","GSM2127954"
"blood","GSM3035698"
"blood","GSM2796269"
"blood","GSM2815071"
"blood","GSM2865115"
"blood","GSM2814130"
"blood","GSM1931527"
"blood","GSM2260683"
"blood","GSM2334071"
"blood","GSM2815320"
"blood","GSM2814058"
"blood","GSM2337363"
"blood","GSM3035417"
"blood","GSM3440675"
"blood","GSM2686831"
"blood","GSM2796296"
"blood","GSM1848018"
"blood","GSM3035738"
"blood","GSM1622783"
"blood","GSM2656324"
"blood","GSM2363869"
"blood","GSM2814791"
"blood","GSM2333980"
"blood","GSM2656212"
"blood","GSM2815004"
"blood","GSM2814626"
"blood","GSM3380769"
"blood","GSM2260527"
"blood","GSM2814642"
"blood","GSM3035867"
"blood","GSM1848073"
"blood","GSM2867857"
"blood","GSM3440492"
"blood","GSM1920406"
"blood","GSM3440513"
"blood","GSM2333992"
"blood","GSM1646169"
"blood","GSM2815573"
"blood","GSM2337547"
"blood","GSM2865160"
"blood","GSM3035827"
"blood","GSM3035729"
"blood","GSM3026669"
"blood","GSM1506474"
"blood","GSM2363844"
"blood","GSM2465223"
"blood","GSM2334486"
"blood","GSM2363581"
"blood","GSM2334026"
"blood","GSM2648849"
"blood","GSM1920444"
"blood","GSM2334257"
"blood","GSM2814305"
"blood","GSM2465151"
"blood","GSM2363790"
"blood","GSM2796271"
"blood","GSM2337549"
"blood","GSM2815421"
"blood","GSM3035665"
"blood","GSM2738206"
"blood","GSM2815534"
"blood","GSM2334420"
"blood","GSM2090037"
"blood","GSM3440515"
"blood","GSM2337455"
"blood","GSM2814079"
"blood","GSM2738256"
"blood","GSM2815621"
"blood","GSM2562753"
"blood","GSM2867850"
"blood","GSM3026724"
"blood","GSM1846446"
"blood","GSM1616996"
"blood","GSM2656217"
"blood","GSM2562888"
"blood","GSM2796281"
"blood","GSM2260649"
"blood","GSM2465191"
"blood","GSM3035577"
"blood","GSM3035679"
"blood","GSM2127941"
"blood","GSM2260696"
"blood","GSM3026744"
"blood","GSM3035880"
"blood","GSM2815031"
"blood","GSM2333925"
"blood","GSM1624831"
"blood","GSM2337616"
"blood","GSM3035888"
"blood","GSM2333952"
"blood","GSM3440446"
"blood","GSM2334193"
"blood","GSM2815279"
"blood","GSM2337605"
"blood","GSM2363762"
"blood","GSM2814299"
"blood","GSM2656427"
"blood","GSM2865119"
"blood","GSM2814381"
"blood","GSM1931526"
"blood","GSM1920430"
"blood","GSM2814738"
"blood","GSM2815142"
"blood","GSM2656367"
"blood","GSM2815478"
"blood","GSM2334414"
"blood","GSM3440768"
"blood","GSM2656298"
"blood","GSM3440456"
"blood","GSM2363693"
"blood","GSM2815143"
"blood","GSM2337449"
"blood","GSM2814128"
"blood","GSM2333988"
"blood","GSM2814524"
"blood","GSM2363570"
"blood","GSM1920378"
"blood","GSM1920388"
"blood","GSM2865096"
"blood","GSM2814968"
"blood","GSM2815442"
"blood","GSM2334405"
"blood","GSM3440409"
"blood","GSM2260610"
"blood","GSM2334466"
"blood","GSM2814479"
"blood","GSM2648859"
"blood","GSM2334534"
"blood","GSM1506491"
"blood","GSM3035520"
"blood","GSM2814898"
"blood","GSM2815160"
"blood","GSM2815219"
"blood","GSM1506487"
"blood","GSM3035636"
"blood","GSM2814156"
"blood","GSM2562707"
"blood","GSM2738275"
"blood","GSM2814988"
"blood","GSM2814118"
"blood","GSM3440380"
"blood","GSM2363542"
"blood","GSM2865176"
"blood","GSM2814770"
"blood","GSM2363659"
"blood","GSM2814823"
"blood","GSM2814819"
"blood","GSM2770875"
"blood","GSM2648852"
"blood","GSM2349496"
"blood","GSM3035682"
"blood","GSM2814641"
"blood","GSM2814847"
"blood","GSM2334020"
"blood","GSM2865122"
"blood","GSM2260514"
"blood","GSM2127908"
"blood","GSM3035770"
"blood","GSM2815648"
"blood","GSM2815364"
"blood","GSM1625002"
"blood","GSM2363644"
"blood","GSM2770895"
"blood","GSM2334496"
"blood","GSM2363553"
"blood","GSM3035878"
"blood","GSM3026786"
"blood","GSM2334275"
"blood","GSM1506434"
"blood","GSM1649772"
"blood","GSM2337468"
"blood","GSM2865116"
"blood","GSM1425647"
"blood","GSM3045503"
"blood","GSM2814273"
"blood","GSM2334410"
"blood","GSM2337432"
"blood","GSM1920361"
"blood","GSM2334392"
"blood","GSM2562858"
"blood","GSM3035857"
"blood","GSM2814549"
"blood","GSM2349461"
"blood","GSM3035512"
"blood","GSM2260656"
"blood","GSM2260517"
"blood","GSM2334597"
"blood","GSM2334033"
"blood","GSM2865138"
"blood","GSM2656180"
"blood","GSM2867855"
"blood","GSM2815652"
"blood","GSM2865141"
"blood","GSM3026655"
"blood","GSM2814146"
"blood","GSM2363780"
"blood","GSM2814935"
"blood","GSM2815551"
"blood","GSM3026674"
"blood","GSM3035405"
"blood","GSM3035924"
"blood","GSM2090019"
"blood","GSM2334393"
"blood","GSM2770881"
"blood","GSM1920384"
"blood","GSM2738252"
"blood","GSM1705012"
"blood","GSM2867845"
"blood","GSM1920452"
"blood","GSM1705044"
"blood","GSM3380780"
"blood","GSM2334490"
"blood","GSM3440579"
"blood","GSM2260616"
"blood","GSM2738199"
"blood","GSM2586459"
"blood","GSM2656243"
"blood","GSM2815126"
"blood","GSM2648842"
"blood","GSM2796288"
"blood","GSM2814783"
"blood","GSM2814766"
"blood","GSM3026671"
"blood","GSM2562872"
"blood","GSM2363767"
"blood","GSM3440364"
"blood","GSM2334601"
"blood","GSM2796278"
"blood","GSM2260567"
"blood","GSM2260680"
"blood","GSM2814727"
"blood","GSM2814237"
"blood","GSM2363595"
"blood","GSM2815553"
"blood","GSM2814370"
"blood","GSM2090009"
"blood","GSM2127912"
"blood","GSM3035590"
"blood","GSM2865191"
"blood","GSM2334201"
"blood","GSM2814723"
"blood","GSM2334380"
"blood","GSM2815349"
"blood","GSM2337410"
"blood","GSM2656338"
"blood","GSM1338123"
"blood","GSM3035680"
"blood","GSM3035862"
"blood","GSM2648856"
"blood","GSM2363847"
"blood","GSM2656203"
"blood","GSM2465180"
"blood","GSM2562816"
"blood","GSM2815590"
"blood","GSM2815101"
"blood","GSM2334230"
"blood","GSM2363739"
"blood","GSM2656403"
"blood","GSM2127925"
"blood","GSM3035972"
"blood","GSM2562842"
"blood","GSM2363871"
"blood","GSM2334341"
"blood","GSM2337390"
"blood","GSM3035735"
"blood","GSM2363541"
"blood","GSM1624844"
"blood","GSM1920433"
"blood","GSM2814112"
"blood","GSM2363635"
"blood","GSM2814685"
"blood","GSM2815097"
"blood","GSM2814851"
"blood","GSM2334625"
"blood","GSM2814235"
"blood","GSM3035403"
"blood","GSM3440530"
"blood","GSM3035812"
"blood","GSM3440665"
"blood","GSM2815437"
"blood","GSM2738235"
"blood","GSM2515123"
"blood","GSM2334400"
"blood","GSM2337579"
"blood","GSM3440470"
"blood","GSM3026764"
"blood","GSM2562819"
"blood","GSM2814817"
"blood","GSM3035522"
"blood","GSM2337433"
"blood","GSM2656216"
"blood","GSM3026694"
"blood","GSM2334457"
"blood","GSM2814790"
"blood","GSM2465179"
"blood","GSM1705007"
"blood","GSM3440516"
"blood","GSM3035721"
"blood","GSM2333908"
"blood","GSM2562709"
"blood","GSM2090021"
"blood","GSM2814482"
"blood","GSM2562763"
"blood","GSM2815577"
"blood","GSM2738233"
"blood","GSM1506379"
"blood","GSM2363707"
"blood","GSM2814408"
"blood","GSM3035814"
"blood","GSM2334235"
"blood","GSM2867810"
"blood","GSM2260636"
"blood","GSM2656345"
"blood","GSM2260653"
"blood","GSM2814715"
"blood","GSM2363697"
"blood","GSM2333968"
"blood","GSM2562746"
"blood","GSM3035694"
"blood","GSM3035555"
"blood","GSM2260727"
"blood","GSM2280167"
"blood","GSM3440659"
"blood","GSM2877335"
"blood","GSM1622768"
"blood","GSM3440478"
"blood","GSM2334432"
"blood","GSM2814109"
"blood","GSM2814115"
"blood","GSM3440488"
"blood","GSM2334128"
"blood","GSM3035911"
"blood","GSM1646172"
"blood","GSM2815270"
"blood","GSM2334318"
"blood","GSM3440715"
"blood","GSM3026746"
"blood","GSM2648873"
"blood","GSM2656386"
"blood","GSM2815119"
"blood","GSM2260641"
"blood","GSM2363757"
"blood","GSM2334023"
"blood","GSM2807751"
"blood","GSM1705045"
"blood","GSM2815540"
"blood","GSM2465266"
"blood","GSM2268017"
"blood","GSM2814316"
"blood","GSM2738144"
"blood","GSM2260544"
"blood","GSM2333911"
"blood","GSM2363842"
"blood","GSM2465156"
"blood","GSM3035534"
"blood","GSM2738245"
"blood","GSM3035788"
"blood","GSM3026677"
"blood","GSM3035514"
"blood","GSM2465152"
"blood","GSM2814279"
"blood","GSM2334149"
"blood","GSM2814247"
"blood","GSM2814706"
"blood","GSM3026756"
"blood","GSM2814054"
"blood","GSM2363649"
"blood","GSM2865103"
"blood","GSM2334092"
"blood","GSM3081003"
"blood","GSM2815625"
"blood","GSM3035638"
"blood","GSM3035436"
"blood","GSM2089958"
"blood","GSM2814332"
"blood","GSM2334239"
"blood","GSM2814116"
"blood","GSM2814396"
"blood","GSM2334448"
"blood","GSM1506452"
"blood","GSM2815177"
"blood","GSM2865133"
"blood","GSM2738208"
"blood","GSM2334126"
"blood","GSM2656389"
"blood","GSM2334628"
"blood","GSM1920461"
"blood","GSM2334419"
"blood","GSM2814183"
"blood","GSM2865121"
"blood","GSM2465213"
"blood","GSM2814434"
"blood","GSM2738247"
"blood","GSM2363791"
"blood","GSM2337487"
"blood","GSM3035413"
"blood","GSM3035642"
"blood","GSM2267987"
"blood","GSM1616994"
"blood","GSM1920386"
"blood","GSM2337333"
"blood","GSM2260502"
"blood","GSM2815023"
"blood","GSM2337447"
"blood","GSM2815092"
"blood","GSM3035582"
"blood","GSM2465163"
"blood","GSM2865187"
"blood","GSM2656258"
"blood","GSM2814355"
"blood","GSM3380798"
"blood","GSM2770872"
"blood","GSM2814060"
"blood","GSM1649768"
"blood","GSM2337395"
"blood","GSM2363719"
"blood","GSM2089995"
"blood","GSM3035475"
"blood","GSM1622769"
"blood","GSM2942842"
"blood","GSM2333907"
"blood","GSM2814372"
"blood","GSM3440668"
"blood","GSM1704999"
"blood","GSM1338117"
"blood","GSM2334574"
"blood","GSM2656327"
"blood","GSM2260701"
"blood","GSM2333983"
"blood","GSM2656199"
"blood","GSM2814341"
"blood","GSM2334105"
"blood","GSM2814949"
"blood","GSM2363858"
"blood","GSM1649811"
"blood","GSM2656378"
"blood","GSM3035659"
"blood","GSM2334268"
"blood","GSM3440455"
"blood","GSM2337501"
"blood","GSM3035653"
"blood","GSM2815106"
"blood","GSM3035900"
"blood","GSM2363700"
"blood","GSM3440533"
"blood","GSM2363678"
"blood","GSM2334475"
"blood","GSM3035884"
"blood","GSM2814649"
"blood","GSM2260725"
"blood","GSM1873661"
"blood","GSM3045507"
"blood","GSM2814661"
"blood","GSM2090002"
"blood","GSM2562919"
"blood","GSM2363628"
"blood","GSM3035910"
"blood","GSM2656206"
"blood","GSM2814859"
"blood","GSM2337472"
"blood","GSM2814411"
"blood","GSM2260524"
"blood","GSM1705037"
"blood","GSM2363664"
"blood","GSM2336986"
"blood","GSM2738261"
"blood","GSM2814966"
"blood","GSM2815009"
"blood","GSM2334384"
"blood","GSM2815161"
"blood","GSM2337452"
"blood","GSM2267972"
"blood","GSM3440468"
"blood","GSM2260659"
"blood","GSM3035619"
"blood","GSM2363653"
"blood","GSM3035626"
"blood","GSM3440517"
"blood","GSM2334532"
"blood","GSM2814946"
"blood","GSM2814239"
"blood","GSM2337587"
"blood","GSM2260550"
"blood","GSM2815403"
"blood","GSM2337377"
"blood","GSM3035915"
"blood","GSM2815326"
"blood","GSM1873637"
"blood","GSM3035749"
"blood","GSM2334215"
"blood","GSM3440722"
"blood","GSM2807795"
"blood","GSM2127931"
"blood","GSM2260732"
"blood","GSM2814097"
"blood","GSM2334265"
"blood","GSM2465204"
"blood","GSM3440620"
"blood","GSM2865086"
"blood","GSM3026656"
"blood","GSM2260528"
"blood","GSM2260651"
"blood","GSM2814864"
"blood","GSM2814957"
"blood","GSM2814746"
"blood","GSM2815412"
"blood","GSM2814083"
"blood","GSM2268014"
"blood","GSM2738231"
"blood","GSM1506406"
"blood","GSM2090028"
"blood","GSM3035772"
"blood","GSM2127928"
"blood","GSM2268007"
"blood","GSM2334477"
"blood","GSM1649779"
"blood","GSM2815396"
"blood","GSM1616992"
"blood","GSM1506555"
"blood","GSM3035795"
"blood","GSM2562925"
"blood","GSM2656425"
"blood","GSM2656328"
"blood","GSM3440734"
"blood","GSM2090032"
"blood","GSM2280168"
"blood","GSM2814711"
"blood","GSM2815123"
"blood","GSM2334156"
"blood","GSM2865089"
"blood","GSM2465241"
"blood","GSM3026714"
"blood","GSM2814519"
"blood","GSM2260698"
"blood","GSM3035456"
"blood","GSM2363832"
"blood","GSM1506505"
"blood","GSM2814189"
"blood","GSM2738163"
"blood","GSM2586451"
"blood","GSM3035515"
"blood","GSM2807793"
"blood","GSM1506353"
"blood","GSM2815158"
"blood","GSM2815086"
"blood","GSM3035789"
"blood","GSM2363623"
"blood","GSM3026675"
"blood","GSM2333948"
"blood","GSM3026757"
"blood","GSM2260537"
"blood","GSM2815137"
"blood","GSM1622772"
"blood","GSM2334190"
"blood","GSM2814911"
"blood","GSM3035939"
"blood","GSM3045512"
"blood","GSM2333942"
"blood","GSM1920395"
"blood","GSM2363681"
"blood","GSM2363781"
"blood","GSM2814255"
"blood","GSM2337397"
"blood","GSM2815472"
"blood","GSM2337446"
"blood","GSM3035873"
"blood","GSM2796285"
"blood","GSM2815620"
"blood","GSM2334328"
"blood","GSM1624837"
"blood","GSM2333901"
"blood","GSM3440742"
"blood","GSM2815114"
"blood","GSM2865150"
"blood","GSM2865124"
"blood","GSM2465272"
"blood","GSM1649751"
"blood","GSM2738293"
"blood","GSM2562907"
"blood","GSM2814933"
"blood","GSM3035429"
"blood","GSM2127914"
"blood","GSM3380765"
"blood","GSM2867786"
"blood","GSM2337266"
"blood","GSM1920422"
"blood","GSM2363657"
"blood","GSM2334610"
"blood","GSM2363797"
"blood","GSM2815319"
"blood","GSM2334252"
"blood","GSM2794397"
"blood","GSM3026782"
"blood","GSM2586431"
"blood","GSM2260706"
"blood","GSM2337280"
"blood","GSM2334421"
"blood","GSM2363764"
"blood","GSM3035851"
"blood","GSM2656256"
"blood","GSM2814337"
"blood","GSM3026616"
"blood","GSM2814553"
"blood","GSM2814536"
"blood","GSM2738203"
"blood","GSM2334470"
"blood","GSM2815527"
"blood","GSM2363605"
"blood","GSM3440560"
"blood","GSM2562790"
"blood","GSM2867827"
"blood","GSM2334404"
"blood","GSM2656326"
"blood","GSM3440761"
"blood","GSM2363827"
"blood","GSM2334545"
"blood","GSM2465206"
"blood","GSM2334116"
"blood","GSM2337555"
"blood","GSM2333946"
"blood","GSM3035428"
"blood","GSM1506448"
"blood","GSM2334379"
"blood","GSM2738142"
"blood","GSM2337591"
"blood","GSM2562934"
"blood","GSM2260597"
"blood","GSM1506415"
"blood","GSM3026792"
"blood","GSM2334512"
"blood","GSM3035782"
"blood","GSM1506542"
"blood","GSM3035561"
"blood","GSM1622779"
"blood","GSM3440499"
"blood","GSM2815674"
"blood","GSM2815609"
"blood","GSM2260492"
"blood","GSM2260551"
"blood","GSM2815188"
"blood","GSM2562791"
"blood","GSM3035546"
"blood","GSM2865134"
"blood","GSM2814168"
"blood","GSM2465248"
"blood","GSM2090040"
"blood","GSM2090034"
"blood","GSM2796290"
"blood","GSM2562905"
"blood","GSM1649760"
"blood","GSM2127905"
"blood","GSM1425695"
"blood","GSM2334438"
"blood","GSM2334204"
"blood","GSM1506566"
"blood","GSM2337440"
"blood","GSM2867895"
"blood","GSM2814765"
"blood","GSM1506293"
"blood","GSM2814737"
"blood","GSM1506501"
"blood","GSM2260511"
"blood","GSM2089970"
"blood","GSM2648843"
"blood","GSM2363634"
"blood","GSM1506423"
"blood","GSM2814293"
"blood","GSM2814691"
"blood","GSM2337290"
"blood","GSM2815199"
"blood","GSM2260716"
"blood","GSM2260589"
"blood","GSM3035538"
"blood","GSM3035747"
"blood","GSM2814171"
"blood","GSM2337249"
"blood","GSM2815678"
"blood","GSM3035722"
"blood","GSM2334411"
"blood","GSM1506507"
"blood","GSM3035547"
"blood","GSM2260497"
"blood","GSM2656341"
"blood","GSM3035708"
"blood","GSM2267973"
"blood","GSM2373077"
"blood","GSM3440526"
"blood","GSM2363668"
"blood","GSM3440333"
"blood","GSM2814802"
"blood","GSM3035460"
"blood","GSM2814996"
"blood","GSM2334406"
"blood","GSM1506334"
"blood","GSM1649747"
"blood","GSM2334362"
"blood","GSM3035575"
"blood","GSM2814456"
"blood","GSM2334434"
"blood","GSM2807785"
"blood","GSM2815457"
"blood","GSM2814448"
"blood","GSM2334459"
"blood","GSM2260700"
"blood","GSM3440494"
"blood","GSM2815384"
"blood","GSM2648864"
"blood","GSM2363796"
"blood","GSM2363892"
"blood","GSM2334344"
"blood","GSM3440649"
"blood","GSM3035532"
"blood","GSM2865105"
"blood","GSM2363539"
"blood","GSM2363650"
"blood","GSM2562723"
"blood","GSM1920450"
"blood","GSM2814573"
"blood","GSM2814464"
"blood","GSM1705080"
"blood","GSM2877352"
"blood","GSM3045531"
"blood","GSM2337453"
"blood","GSM1338113"
"blood","GSM2815221"
"blood","GSM2089984"
"blood","GSM2815505"
"blood","GSM2337459"
"blood","GSM3035790"
"blood","GSM2334260"
"blood","GSM2815530"
"blood","GSM2814180"
"blood","GSM2738222"
"blood","GSM2815233"
"blood","GSM3440682"
"blood","GSM2465222"
"blood","GSM2515105"
"blood","GSM2814579"
"blood","GSM2337490"
"blood","GSM2465173"
"blood","GSM2337412"
"blood","GSM3440441"
"blood","GSM2815345"
"blood","GSM2656410"
"blood","GSM2815646"
"blood","GSM2814686"
"blood","GSM3440485"
"blood","GSM2334272"
"blood","GSM2333954"
"blood","GSM3035468"
"blood","GSM2865147"
"blood","GSM2648876"
"blood","GSM3440764"
"blood","GSM2337417"
"blood","GSM2127955"
"blood","GSM1425508"
"blood","GSM2807788"
"blood","GSM2334061"
"blood","GSM3440524"
"blood","GSM3026631"
"blood","GSM1506498"
"blood","GSM2814721"
"blood","GSM3440414"
"blood","GSM2656233"
"blood","GSM2815656"
"blood","GSM3440660"
"blood","GSM2562843"
"blood","GSM2349443"
"blood","GSM2814928"
"blood","GSM2814111"
"blood","GSM3440637"
"blood","GSM1920423"
"blood","GSM2334583"
"blood","GSM1649818"
"blood","GSM2814204"
"blood","GSM2586461"
"blood","GSM2089999"
"blood","GSM2815105"
"blood","GSM3080996"
"blood","GSM2334576"
"blood","GSM3035568"
"blood","GSM2363672"
"blood","GSM2334559"
"blood","GSM2363769"
"blood","GSM2333915"
"blood","GSM2815180"
"blood","GSM1649742"
"blood","GSM3035464"
"blood","GSM2738148"
"blood","GSM3440644"
"blood","GSM3440559"
"blood","GSM3267085"
"blood","GSM2867822"
"blood","GSM2814651"
"blood","GSM3035552"
"blood","GSM1920354"
"blood","GSM3440438"
"blood","GSM2814393"
"blood","GSM2363558"
"blood","GSM2334115"
"blood","GSM2334316"
"blood","GSM2814353"
"blood","GSM2465193"
"blood","GSM2337621"
"blood","GSM2796284"
"blood","GSM2815614"
"blood","GSM2814192"
"blood","GSM2815148"
"blood","GSM3026706"
"blood","GSM3035870"
"blood","GSM2656264"
"blood","GSM2337460"
"blood","GSM2656364"
"blood","GSM3440467"
"blood","GSM2334056"
"blood","GSM2334358"
"blood","GSM2333918"
